id,first_name,second_name
433,Callum,Wilson
580,Loris,Karius
581,Paul,Dummett
603,Harvey,Barnes
633,Tino,Livramento
634,Alex,Murphy
635,Lewis,Miley
738,Amadou,Diallo
739,Ben,Parkinson
745,Michael,Ndiweni
794,Joe,White
795,Travis,Hernes
23,Nuno,Varela Tavares
28,Matt,Turner
205,Callum,Hudson-Odoi
378,Anthony,Elanga
434,Brandon,Aguilera Zamora
435,Harry,Arter
436,Serge,Aurier
437,Taiwo,Awoniyi
438,Giulian,Biancone
439,Willy,Boly
440,Josh,Bowler
441,Steve,Cook
442,Danilo,dos Santos de Oliveira
443,Emmanuel,Dennis
444,Mohamed,Dräger
445,Felipe Augusto,de Almeida Monteiro
446,Remo,Freuler
447,Morgan,Gibbs-White
448,Wayne,Hennessey
449,Ethan,Horvath
451,Cheikhou,Kouyaté
452,Richie,Laryea
453,Orel,Mangala
454,Loïc,Mbe Soh
455,Scott,McKenna
456,Alex,Mighten
457,Moussa,Niakhaté
458,Lewis,O'Brien
459,Braian,Ojeda Rodríguez
460,Jonathan,Panzo
461,Omar,Richards
462,Gustavo Henrique,Furtado Scarpa
463,Jonjo,Shelvey
464,Sam,Surridge
465,Harry,Toffolo
466,Hwang,Ui-jo
467,Neco,Williams
468,Chris,Wood
469,Joe,Worrall
470,Ryan,Yates
604,Olu,Aina
636,George,Shelvey
637,Josh,Powell
679,Gonzalo,Montiel
696,Murillo,Santiago Costa dos Santos
710,Odysseas,Vlachodimos
711,Andrew,Omobamidele
712,Nicolás,Domínguez
713,Ibrahim,Sangaré
714,Divock,Origi
779,Jamie,McDonnell
780,Detlef Esapa,Osong
781,Joe,Gardner
801,Giovanni,Reyna
808,Matz,Sels
809,Rodrigo,Duarte Ribeiro
27,Auston,Trusty
33,Cameron,Archer
255,Mason,Holgate
360,James,McAtee
471,Anel,Ahmedhodžić
472,Jordan,Amissah
473,George,Baldock
474,Chris,Basham
476,Jayden,Bogle
477,Rhian,Brewster
478,Ismaila,Coulibaly
479,Adam,Davies
480,John,Egan
481,John,Fleck
482,Wes,Foderingham
483,Daniel,Jebbison
484,Max,Lowe
485,Oliver,McBurnie
486,Iliman,Ndiaye
487,Rhys,Norrington-Davies
488,Oliver,Norwood
489,Ben,Osborn
490,William,Osula
576,Jack,Robinson
587,Anis,Slimane
592,Yasser,Larouci
593,Bénie,Traoré
638,Vini,de Souza Costa
653,Femi,Seriki
654,Louie,Marsh
655,Andre,Brooks
656,Antwoine,Hackford
663,Gustavo,Hamer
666,Tom,Davies
693,Luke,Thomas
730,Ryan,Oné
731,Jili,Buyabu
759,Sydie,Peck
775,Ben,Brereton
790,Ivo,Grbic
822,Billy,Blacker
823,Oliver,Arblaster
827,Dovydas,Sasnauskas
828,Sam,Curtis
857,Owen,Hampson
450,Brennan,Johnson
491,Brandon,Austin
492,Rodrigo,Bentancur
493,Yves,Bissouma
494,Bryan,Gil Salvatierra
495,Ben,Davies
496,Eric,Dier
497,Emerson,Leite de Souza Junior
498,Fraser,Forster
499,Pierre-Emile,Højbjerg
500,Harry,Kane
501,Dejan,Kulusevski
502,Hugo,Lloris
503,Giovani,Lo Celso
504,James,Maddison
505,Tanguy,Ndombélé Alvaro
506,Pedro,Porro
507,Ivan,Perišić
509,Richarlison,de Andrade
510,Joe,Rodon
511,Cristian,Romero
512,Davinson,Sánchez
513,Pape Matar,Sarr
514,Ryan,Sessegnon
515,Oliver,Skipp
516,Son,Heung-min
517,Djed,Spence
518,Japhet,Tanganga
519,Destiny,Udogie
520,Guglielmo,Vicario
521,Alfie,Whiteman
583,Manor,Solomon
639,Micky,van de Ven
640,Dane,Scarlett
641,Alejo,Véliz
702,Ashley,Phillips
722,Jamie,Donley
740,Alfie,Dorrington
754,Yago,de Santiago Alonso
776,Timo,Werner
777,Radu,Dragusin
860,Mikey,Moore
862,Tyrese,Hall
364,Kalvin,Phillips
522,Nayef,Aguerd
523,Michail,Antonio
524,Alphonse,Areola
525,Saïd,Benrahma
526,Jarrod,Bowen
527,Maxwel,Cornet
528,Vladimír,Coufal
529,Conor,Coventry
530,Aaron,Cresswell
531,Flynn,Downes
532,Emerson,Palmieri dos Santos
533,Lukasz,Fabianski
534,Pablo,Fornals Malla
535,Danny,Ings
536,Ben,Johnson
537,Thilo,Kehrer
538,Divin,Mubama
539,Lucas,Tolentino Coelho de Lima
541,Gianluca,Scamacca
542,Tomáš,Souček
543,Nikola,Vlašić
544,Kurt,Zouma
577,Angelo,Ogbonna
642,Edson,Álvarez Velázquez
647,Joseph,Anang
664,James,Ward-Prowse
676,Konstantinos,Mavropanos
689,Mohammed,Kudus
773,Lewis,Orford
774,Kaelan,Casey
784,Oliver,Scarles
785,Callum,Marshall
829,George,Earthy
351,Tommy,Doyle
545,Rayan,Aït-Nouri
546,Daniel,Bentley
547,Bendegúz,Bolla
548,Hugo,Bueno López
549,Francisco Jorge,Tomás Oliveira
550,Luke,Cundle
551,Craig,Dawson
552,Fábio,Silva
554,Gonçalo Manuel,Ganchinho Guedes
555,Joe,Hodge
556,Ki-Jana,Hoever
557,Hwang,Hee-chan
559,João Victor,Gomes da Silva
560,Jonathan,Castro Otto
561,Bruno,Cavaco Jordão
562,Sasa,Kalajdzic
563,Max,Kilman
564,Tom,King
565,Mario,Lemina
567,Pedro,Lomba Neto
568,Daniel,Castelo Podence
569,José,Malheiro de Sá
570,Pablo,Sarabia
571,Matija,Šarkić
572,Nélson,Cabral Semedo
573,Toti António,Gomes
574,Boubacar,Traoré
590,Matheus,Santos Carneiro Da Cunha
598,Matt,Doherty
697,Santiago,Bueno
698,Enso,González
704,Nathan,Fraser
715,Jean-Ricner,Bellegarde
749,Matthew,Whittingham
750,Tawanda,Chirewa
751,Justin,Hubner
769,Owen,Hesketh
770,Ty,Barnett
787,Harvey,Griffiths
788,Yerson,Mosquera
800,Noha,Lemina
832,Wesley,Okoduwa
836,Leon,Chiwome
840,Fletcher,Holman
853,Temple,Ojinnaka
